type	conference_acronym	conference_name	conference_date	conference_location
Big Data	NCWMC  2023	8th International Conference on Networks, Communications, Wireless and Mobile Computing	Jul 22, 2023	Toronto, Canada
Big Data	CCSIT  2023	13th International Conference on Computer Science and Information Technology	Jul 22, 2023	Toronto, Canada
Big Data	CBIoT  2023	4th International Conference on Cloud, Big Data and IoT 	Jul 29, 2023	London, United Kingdom
Big Data	ICCC 2022	IEEE--2022 8th International Conference on Computer and Communications (ICCC 2022)	Dec 9, 2022	Chengdu, China
Big Data	ACM-Ei/Scopus-PRDM 2022	2022 3rd International Conference on Pattern Recognition and Data Mining （PRDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
Big Data	ACM-Ei/Scopus-MLBDM 2022	2022 2nd International Conference on Machine Learning and Big Data Management（MLBDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
Big Data	ACM ICIIT 2023	ACM--2023 8th International Conference on Intelligent Information Technology (ICIIT 2023)	Feb 24, 2023	Da Nang, Vietnam
Big Data	ACM ICCBN 2023	ACM--2023 11th International Conference on Communications and Broadband Networking (ICCBN 2023)	Feb 24, 2023	Xi'an, China
Big Data	CCDC 2023	35th Chinese Control and Decision Conference	May 20, 2023	Yichang, China
Big Data	ICIM 2023	IEEE--2023 the 9th International Conference on Information Management (ICIM 2023)	Mar 17, 2023	the University of Oxford, Oxford, UK
Big Data	ICBICC 2022	2022 4th International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2022)	Dec 2, 2022	Chengdu, China
Big Data	ICGDA 2023	2023 6th International Conference on Geoinformatics and Data Analysis (ICGDA 2023)	Apr 13, 2023	Marseille, France
Big Data	ICNS--Ei 2022	2022 The 7th International Conference on Network Security (ICNS 2022)	Dec 9, 2022	Beijing, China
Big Data	ICBD--EI 2023	2023 International Conference on Big Data (ICBD 2023)	Jan 4, 2023	Guiyang, China
Big Data	ICCDE 2023	ACM--2023 9th International Conference on Computing and Data Engineering (ICCDE 2023)	Jan 6, 2023	Haikou, China
Big Data	SCSN 2023	The 11th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Feb 1, 2023	Laguna Hills, CA, USA (Hybrid)
Big Data	ICBDM--EI 2023	2023 the 6th International Conference on Big Data Management (ICBDM 2023)	Feb 17, 2023	Zhuhai, China
Big Data	APIT 2023	ACM--2023 5th Asia Pacific Information Technology Conference (APIT 2023)	Feb 9, 2023	Ho Chi Minh, Vietnam
Big Data	AIOTT--Ei 2023	2023 4th Asia IoT Technologies Conference (AIOTT 2023)	Jan 6, 2023	Beijing, China
Big Data	INCC--Ei 2023	2023 International Conference on Information Network and Computer Communications (INCC 2023)	Jan 6, 2023	Beijing, China
Big Data	GBDE 2023	2023 The 3rd Global Big Data Engineering Symposium (GBDE 2023)	Jan 10, 2023	Hangzhou, China
Big Data	IoTBDS 2023	8th International Conference on Internet of Things, Big Data and Security	Apr 21, 2023	Lisbon, Portugal
Big Data	FEMIB 2023	5th International Conference on Finance, Economics, Management and IT Business	Apr 23, 2023	Lisbon, Portugal
Big Data	ICBDB 2022	2022 4th International Conference on Big Data and Blockchain(ICBDB 2022)	Dec 16, 2022	Beijing, China
Big Data	EI-WBDC 2022	2022 4th International Workshop on Big Data and Computing(WBDC 2022)	Dec 16, 2022	Beijing, China
Big Data	DSDE--Ei 2023	2023 the 6th International Conference on Data Storage and Data Engineering (DSDE 2023)	Feb 24, 2023	Mianyang, Sichuan, China
Big Data	IDITR 2023	2023 2nd International Conference on Innovations and Development of Information Technologies and Robotics (IDITR 2023)	May 26, 2023	Chengdu, China 
Big Data	China, DMCIT 2023	2023 7th International Conference on Data Mining, Communications and Information Technology (DMCIT 2023)	May 26, 2023	Chongqing, China
Big Data	ICAIBD 2023	2023 IEEE The 6th International Conference on Artificial Intelligence and Big Data (ICAIBD 2023)	May 26, 2023	Chengdu, China
Big Data	ETTIS 2023	3rd International Conference on Emerging Trends and Technologies on Intelligent Systems	Feb 23, 2023	New Delhi, India
Big Data	ICCCBDA 2023	IEEE--2023 the 8th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2023)	Apr 26, 2023	Chengdu, China
Big Data	ICBDC 2023	ACM--2023 8th International Conference on Big Data and Computing (ICBDC 2023)	May 26, 2023	Shenzhen, China
Big Data	ICINT 2023	2023 8th International Conference on Information and Network Technologies (ICINT 2023)	May 19, 2023	Tokyo, Japan
Big Data	ICDM 2023	23rd Industrial Conference on Data Mining	Jul 12, 2023	New York, USA
Big Data	ICCSN 2023	IEEE--2023 15th International Conference on Communication Software and Networks (ICCSN 2023)	Jun 14, 2023	Shenyang, China 
Big Data	ACBT 2023	2023 Asia Conference on Blockchain Technologies (ACBT 2023)	Jun 23, 2023	Seoul, South Korea
Big Data	ITIOT 2023	2023 8th International Conference on Information Technology and Internet of Things (ITIOT 2023)	Jun 23, 2023	Seoul, South Korea
Big Data	ICISPP 2023	IEEE--2023 4th International Conference on Information Security and Privacy Protection (ICISPP 2023)	Jul 8, 2023	Wuxi, China
Big Data	ICCDA 2023	2023 The 7th International Conference on Compute and Data Analysis (ICCDA 2023)	Jul 20, 2023	Guiyang, China
Big Data	SoCAV 2023	2023 International Symposium on Connected and Autonomous Vehicles (SoCAV 2023)	Apr 21, 2023	Shenzhen, China
Big Data	ICMT 2023	2023 International Conference on Metaverse Technology (ICMT 2022)	Aug 11, 2023	Chengdu, China
Big Data	IEEE SSCI 2023	2023 IEEE Symposium Series on Computational Intelligence	Dec 6, 2023	Mexico City, Mexico
Big Data	ICACII 2023	2nd International Conference on Advances in Computational Intelligence and Informatics 	Dec 22, 2023	Hyderabad, India
Big Data	WSIM 2022	2022 2nd International Workshop on Information Management (WSIM 2022)	Dec 2, 2022	London, UK
Big Data	BDSIC--EI 2022	2022 4th International Conference on Big-data Service and Intelligent Computation (BDSIC 2022)	Nov 25, 2022	Xiamen, China
Big Data	BIOM 2022	2nd International Conference on Big Data, IoT and Machine Learning	Oct 22, 2022	Sydney, Australia
Big Data	CSCT 2022	Congress on Smart Computing Technologies	Dec 3, 2012	South Asian University, India 
Big Data	SCDM 2022	Scalable Cloud Data Management Workshop	Dec 17, 2022	Osaka, Japan
Big Data	ICSC 2023	IEEE International Conference on Semantic Computing	Feb 1, 2023	Laguna Hills, CA
Big Data	IEEE ICCT--Ei 2022	2022 IEEE 22nd International Conference on Communication Technology (22nd IEEE ICCT)	Nov 11, 2022	Nanjing, China
Big Data	IOP, EI, Scopus-EMECS 2022	2022 International Conference on Electronics, Mechanical Engineering and Computer Science (EMECS 2022)-EI Compendex	Oct 21, 2022	Xiamen, China
Big Data	ICSESS 2022	2022 13th International Conference on Software Engineering and Service Science 	Oct 21, 2022	Beijing,China
Big Data	ICBDM 2022	2022 3rd International Conference on Big Data in Management (ICBDM 2022)	Nov 7, 2022	Charleston, South Carolina, USA
Big Data	ICISE--EI 2022	2022 the 7th International Conference on Information Systems Engineering (ICISE 2022)	Nov 7, 2022	Charleston, South Carolina, USA
Big Data	EAI BDCC 2022	5th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Dec 16, 2022	Coimbatore, India
Big Data	EuroSymposium 2022	The XIVth EuroSymposium on Digital Transformation, 2022, University of Gdansk, Poland (videoconference, hybrid)	Dec 15, 2022	Videoconference (Sopot, Poland)
Big Data	ISM 2022	IEEE International Symposium on Multimedia 	Dec 5, 2022	Naples, Italy
Big Data	BigMM 2022	IEEE International Conference on Multimedia Big Data	Dec 5, 2022	Naples, Italy
Big Data	IEEE ICCBD 2022	IEEE--2022 5th International Conference on Computing and Big Data (ICCBD 2022)	Oct 28, 2022	Shanghai, China
Big Data	HotICN 2022	2022 5th International Conference on Hot Information-Centric Networking (HotICN 2022)	Nov 24, 2022	Guangzhou, China
Big Data	WBDS--JA, Scopus 2022	2022 The 2nd Workshop on Big Data Sciences (WBDS 2022)--JA, Scopus	Oct 14, 2022	Tokyo, Japan
Big Data	BDCAT 2022	9th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies	Dec 6, 2022	Portland, Oregon, USA
Big Data	WIOTT--JA, Scopus 2022	2022 The 2nd Workshop on Internet of Things Technologies (WIOTT 2022)--JA, Scopus	Oct 14, 2022	Tokyo, Japan
Big Data	ICCT 2023	3rd International Conference on Intelligent Communication and Computational Techniques 	Jan 19, 2023	Jaipur, India
Big Data	Intel4EC 2022	International Workshop on Intelligent and Adaptive Edge-Cloud Operations and Services collocated with IEEE/ACM Conference on Utility and Cloud Computing (UCC 2022)	Dec 6, 2022	Portland, Oregon, USA
Big Data	ICoIV 2022 - Ei Compendex & Scopus 2022	2022 International Conference on Intelligent Vehicles (ICoIV 2022)	Oct 14, 2022	Chengdu, China
Big Data	ICCIS 2022	IEEE--2022 6th International Conference on Communication and Information Systems (ICCIS 2022)	Oct 14, 2022	Chongqing, China
Big Data	ICITS 2023	6th International Conference on Information Technology and Systems	Feb 8, 2023	Cusco, Peru
Big Data	IEEE BigData 2022	2022 IEEE International Conference on Big Data	Dec 17, 2022	Osaka, Japan
Big Data	IEEE-CCBDIoT 2022	2022 International Conference on Computing, Big Data and Internet of Things (CCBDIoT 2022)	Sep 23, 2022	Xi'an, China
Big Data	ICDMAI 2023	7th International Conference on Data Management, Analytics and Innovation	Jan 20, 2023	Pune, India
Big Data	DMBD 2022	The Seventh International Conference on Data Mining and Big Data	Nov 21, 2022	Beijing, China
Big Data	Springer--ICENAT 2022	Springer--2022 International Conference on Emerging Networking Architecture and Technologies (ICENAT 2022)	Oct 15, 2022	Shenzhen, China
Big Data	DMBD 2022	7th International Conference on Data Mining and Big Data 	Nov 21, 2022	Beijing, China
Big Data	DMBD 2022	DMBD'2022: Call for Special Session Proposals & Call for Papers 	Nov 21, 2022	Beijing,China
Big Data	ABCSS 2022	The 7th International Workshop on Application of Big Data for Computational Social Science	Nov 17, 2022	Niagara Falls, Canada
Big Data	ICTC 2022	Extended Deadline (Firm Deadline): Aug. 22 (Hybrid: Virtual & In Person, Jeju Island, South Korea)  - The 13th International Conference on ICT Convergence - 	Oct 19, 2022	Jeju Island, South Korea
Big Data	IEEE--ISCIT 2022	IEEE--2022 21th International Symposium on Communications and Information Technologies (ISCIT 2022)	Sep 27, 2022	Xi'an, China
Big Data	ACM BDCI 2022	ACM--2022 The 2nd International Conference on Big Data and Computational Intelligence (BDCI 2022)	Sep 28, 2022	Xiamen, China
Big Data	BDML 2022	2022 5th International Conference on Big Data and Machine Learning (BDML 2022)	Sep 23, 2022	Xiamen, China
Big Data	DRBSD 2022	International Workshop on Data Analysis and Reduction for Big Scientific Data	Nov 13, 2022	Dallas, TX
Big Data	CBD  2022	2022 The Tenth International Conference on Advanced Cloud and Big Data	Nov 4, 2022	Guilin, China
Big Data	AIBDCA 2022	2022 International Conference on Artificial Intelligence, Big Data and Computer Applications	Nov 4, 2022	Huanggang, China
Big Data	ACM--ICBDT 2022	ACM--2022 5th International Conference on Big Data Technologies (ICBDT 2022)	Sep 23, 2022	Qingdao, China
Big Data	ACM--CCIOT 2022	ACM--2022 7th International Conference on Cloud Computing and Internet of Things (CCIOT 2022)	Sep 23, 2022	University of Ryukyu, Okinawa, Japan
Big Data	ACM--ICENT 2022	ACM--2022 4th International Conference on Emerging Networks Technologies (ICENT 2022)	Sep 23, 2022	University of Ryukyu, Okinawa, Japan
Big Data	ICAISE 2022	The 4th International Conference on Artificial Intelligence and Smart  Environment	Nov 24, 2022	Errachidia, MOROCCO
Big Data	PAAP 2022	The 13th International Symposium on Parallel Architectures, Algorithms and Programming	Nov 4, 2022	Beijing, China
Big Data	WSCE 2022	IEEE--2022 The 5th World Symposium on Communication Engineering (WSCE 2022)	Sep 16, 2022	Nagoya University, Japan
Big Data	XLOOP 2022	4th Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing	Nov 18, 2022	Dallas, TX
Big Data	IEEE CSE  2022	The 25th IEEE International Conference on Computational Science and Engineering	Oct 28, 2022	Wuhan, China
Big Data	EAI IoTCare  2022	3rd EAI International Conference on IoT and Big Data Technologies for HealthCare	Oct 17, 2022	Leicester, Great Britain
Big Data	ICCBDC 2022	ACM--2022 6th International Conference on Cloud and Big Data Computing (ICCBDC 2022)	Aug 18, 2022	Birmingham, United Kingdom
Big Data	IWBIS 2022	IWBIS 2022 : THE 7TH INTERNATIONAL WORKSHOP ON BIG DATA AND INFORMATION SECURITY	Oct 1, 2022	Jakarta, Indonesia
Big Data	BDEE 2022	2022 The 2nd International Conference on Big Data Engineering and Education (BDEE 2022)	Aug 5, 2022	Chengdu, China
Big Data	IDSTA 2022	The IEEE International Conference on Intelligent Data Science Technologies and Applications	Sep 5, 2022	San Antonio, USA
Big Data	GC 2022	Graph Computing	Sep 19, 2022	Laguna Hills, CA
Big Data	ICBDR--Ei, Scopus 2022	2022 The 6th International Conference on Big Data Research (ICBDR 2022)--Ei Compendex, Scopus	Aug 10, 2022	Harbin, China
Big Data	AI4I 2022	5th International Conference on Artificial Intelligence for Industries	Sep 19, 2022	Laguna Hills, California, USA
Big Data	TransAI 2022	IEEE International Conference on Transdisciplinary AI	Sep 19, 2022	Laguna Hills, CA
Big Data	AIKE 2022	IEEE Artificial Intelligence & Knowledge Engineering 	Sep 19, 2022	Laguna Hills, CA
Big Data	ACM--ICCCM 2022	ACM--2022 The 10th International Conference on Computer and Communications Management (ICCCM 2022)	Jul 29, 2022	Okayama University, Japan
Big Data	ICCFI--Ei, Scopus 2022	2022 The 6th International Conference on Communications and Future Internet (ICCFI 2022)	Jul 29, 2022	Okayama University, Japan
Big Data	IEEE--DSIT 2022	2022 IEEE 5th International Conference on Data Science and Information Technology (DSIT 2022)	Jul 22, 2022	Shanghai, China
Big Data	IEEE CSDE 2022	9th IEEE Asia-Pacific Conference on Computer Science and Data Engineering	Dec 14, 2022	Gold Coast, Queensland, Australia
Big Data	ACM--ICICM 2022	ACM--2022 12th International Conference on Information Communication and Management (ICICM 2022)	Jul 13, 2022	London, United Kingdom
Big Data	BDAML--Ei Compendex, Scopus 2022	2022 International Conference on Big Data Analysis and Machine Learning (BDAML 2022)--Ei Compendex, Scopus	Jul 20, 2022	Suzhou, China
Big Data	BCCA 2022	The 4th IEEE International Conference on Blockchain Computing and Applications	Sep 5, 2022	San Antonio, USA
Big Data	ICAIT--Ei, Scopus 2022	2022 The 14th International Conference on Advanced Infocomm Technology (ICAIT 2022)--Ei Compendex, SCOPUS	Jul 8, 2022	Chongqing, China
Big Data	ACM ICIME 2022	ACM--2022 14th International Conference on Information Management and Engineering (ICIME 2022)--Ei Compendex, Scopus	Oct 21, 2022	Zhenjiang, China
Big Data	ICCCI 2022	IEEE--2022 The 4th International Conference on Computer Communication and the Internet (ICCCI 2022)	Jul 1, 2022	Chiba, Japan
Big Data	IN4PL 2022	3rd International Conference on Innovative Intelligent Industrial Production and Logistics	Oct 24, 2022	Valletta, Malta
Big Data	CIKM 2022	Call for Applied Research Papers (CIKM 2022)	Oct 17, 2022	Atlanta, Georgia, USA
Big Data	ICDPA--Scopus, Ei 2022	2022 The 8th International Conference on Data Processing and Applications (ICDPA 2022)--Scopus, Ei Compendex	Jun 24, 2022	Xiamen, China
Big Data	ICITS--EI, SCOPUS 2022	2022 The 10th International Conference on Information Technology and Science (ICITS 2022)--Scopus, Ei Compendex	Jun 24, 2022	Xiamen, China
Big Data	cluster 2022	IEEE Cluster Conference	Sep 6, 2022	Heidelberg, Germany
Big Data	BDNT 2022	8th International workshop on Big Data and Networks Technologies (BDNT 2022)	Aug 9, 2022	Ontario, Canada
Big Data	BECS 2022	2nd International Workshop on Big data driven Edge Cloud Services	Jul 5, 2022	Bari, Italy
Big Data	ICIMP--EI Compendex and Scopus 2022	2022 The 5th International Conference on Information Management and Processing (ICIMP 2022)--Ei Compendex, Scopus	Jun 10, 2022	Rome, Italy
Big Data	DBB   2022	The 3rd International Conference on Deep Learning, Big Data and Blockchain	Aug 22, 2022	Rome, Italy
Big Data	BECS 2022	2nd International Workshop on Big data driven Edge Cloud Services	Jul 5, 2022	Bari, Italy
Big Data	FICTA 2022	10th International Conference on Frontiers of Intelligent Computing: Theory and Applications	Jun 18, 2022	Aizawl, Mizoram, India
Big Data	ESDPS  2022	IEEE Smart Data Workshop on Emerging Smart Data Applications in New Power Systems	Aug 22, 2022	Espoo, Finland
Big Data	BlockSys--Ei Compendex, SCI, ESCI 2022	2022 International Conference on Blockchain and Trustworthy Systems (BlockSys'2022)--Ei Compendex, SCI, ESCI	Aug 4, 2022	Chengdu, China
Big Data	JCC-BD&ET 2022	[Deadline extended] JCC-BD&ET 2022: 10th Conference on Cloud Computing, Big Data & Emerging Topics --Springer CCIS (Ei Compendex & Scopus)	Jun 28, 2022	La Plata, Argentina
Big Data	ICDPCS 2022	1st International Conference on Data Processing, Control and Simulation	May 13, 2022	Wuhan, China
Big Data	APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Oct 14, 2022	Nanjing, China
Big Data	ENHANCE 2022	Enabling Technologies and Dependability in Cyber-Physical Systems	Jun 20, 2022	Budapest, Hungary
Big Data	IMMM 2022	The Twelfth International Conference on Advances in Information Mining and Management	Jun 26, 2022	Porto, Portugal
Big Data	ACCSE 2022	The Seventh International Conference on Advances in Computation, Communications and Services	Jun 26, 2022	Porto, Portugal
Big Data	APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Aug 11, 2022	Nanjing, China
Big Data	APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Aug 11, 2022	Nanjing, China
Big Data	SEBD 2022	30th Symposium on Advanced Database Systems	Jun 19, 2022	Tirrenia, Pisa (Tuscany), Italy
Big Data	IEEE COINS 2022	International Conference on Omni-Layer Intelligent Systems Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing | Se	Aug 1, 2022	Barcelona, Spain
Big Data	DATA 2022	11th International Conference on Data Science, Technology and Applications	Jul 11, 2022	Lisbon, Portugal
Big Data	DeLTA 2022	3rd International Conference on Deep Learning Theory and Applications	Jul 12, 2022	Lisbon, Portugal
Big Data	ICoDT 2022	2nd IEEE International Conference on Digital Futures and Transformative Technologies 	May 24, 2022	College of EME, Rawalpindi, Pakistan 
Big Data	ITAIC 2022	10th IEEE Joint International Information Technology and Artificial Intelligence Conference	Jun 17, 2022	Chongqing, China
Big Data	SMDB 2022	The 13th International Workshop on Self-Managing Database Systems (SMDB 2022)	May 9, 2022	Kuala Lumpur, Malaysia (or Online)
Big Data	ALLDATA 2022	The Eighth International Conference on Big Data, Small Data, Linked Data and Open Data	Apr 24, 2022	Barcelona, Spain
Big Data	ALLDATA 2022	8th International Conference on Big Data, Small Data, Linked Data and Open Data	Apr 24, 2022	Barcelona, Spain
Big Data	IFCS 2022	Classification and Data Science in the Digital Age	Jul 19, 2022	Porto, Portugal
Big Data	IFCS 2022	Classification and Data Science in the Digital Age	Jul 19, 2022	Porto, Portugal
Big Data	CMSBD2021	2021 International Conference on Computer Modeling, Simulation and Big Data (CMSBD2021)	Nov 14, 2021	Shenzhen, China
Big Data	Privacy 2021	The 2021 International Symposium on Privacy, Security and Smart Cities	Dec 16, 2021	Newcastle upon Tyne, UK
Big Data	SCDM 2021	SCDM 2021 : Scalable Cloud Data Management Workshop	Dec 15, 2021	Remote (orig. Orlando, FL/USA)
Big Data	HPBD&IS 2021	3rd International Conference on High Performance Big Data and Intelligent Systems	Dec 5, 2021	Macau, China
Big Data	ICFIC 2021	2021 International Conference on Future Intelligent Computing	Nov 18, 2021	Daegu University, Korea
Big Data	KG@SAC 2022	ACM SAC 2022 Track on Knowledge Graphs	Apr 25, 2022	Brno, Czech Republic
Big Data	ICACCI 2021	11th International Conference on Advanced Computing, Communication and Information Science	Nov 26, 2021	Busan, South Korea
Big Data	DSEA 2021	The 5th International Workshop on Data Science Engineering and its Applications	Dec 6, 2021	Gandia, Spain
Big Data	OSNT 2021	The 7th International Workshop on Online Social Networks Technologies	Dec 6, 2021	Gandia, Spain
Big Data	ANLP 2021	The 5th International Workshop on Advances in Natural Language Processing	Dec 6, 2021	Gandia, Spain
Big Data	SCICE 2021	The International Workshop on Smart Community with IoT, Cloud, and Edge Computing	Dec 6, 2021	Gandia, Spain
Big Data	EAI BDCC 2021	4th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing (Springer, Scopus, Ei Compendex, more)	Dec 17, 2021	Coimbatore, India
Big Data	BDSN 2021	The 9th International workshop on Big Data and Social Networking Management and Security	Dec 6, 2021	Gandia, Spain
Big Data	ICCIC 2021	International Conference on Cognitive and Intelligent Computing	Dec 11, 2021	Hyderabad, India
Big Data	SDM 2022	SIAM International Conference on Data Mining	Apr 28, 2022	Alexandria, Virginia, USA
Big Data	SITAIBA 2021	SITAIBA 2021 : 2021 International Conference on Security and Information Technologies with AI, Internet Computing and Big-data Applications	Nov 18, 2021	Taichung City, TAIWAN
Big Data	ABCSS 2021	The 6th International Workshop on Application of Big Data for Computational Social Science	Dec 14, 2021	Melbourne, Australia
Big Data	IoMT-CAS 2021	The Internet of Multimedia Things, Communications, Applications, and Security	Nov 15, 2021	Tartu, Estonia
Big Data	IIoTBDSC 2021	The 2nd International Conference on Industrial IoT, Big Data and Supply Chain (IIoTBDSC 2021) 	Oct 15, 2021	Macao, SAR of China and online
Big Data	IEEE SSCI 2021	2021 IEEE Symposium Series on Computational Intelligence	Dec 5, 2021	Orlando, Florida, USA
Big Data	BigMM 2021	IEEE International Conference on Multimedia Big Data 2021	Nov 15, 2021	Taichung, Taiwan
Big Data	IEEE CCEM 2021	The Tenth IEEE International Conference on Cloud Computing in Emerging Markets (CCEM), 27th - 30th October 2021, New Jersey, USA	Oct 27, 2021	NEW JERSY, USA
Big Data	ICSESS 2021	2021 12th International Conference on Software Engineering and Service Science 	Aug 20, 2021	Beijing,China
Big Data	HPBD 2021	Workshop on High-Performance and Reliable Big Data	Sep 20, 2021	Chicago, USA
Big Data	ai4i 2021	Artificial Intelligence for Industries (ai4i 2021)	Sep 20, 2021	Laguna Hills, California, USA
Big Data	CSoNet  2021	CSoNet 2021 Call for Papers	Nov 15, 2021	Montreal, Quebec, Canada
Big Data	CBD 2021	The Ninth International Conference on Advanced Cloud and Big Data	Oct 15, 2021	Xi'an, China
