conference_acronym	conference_name	conference_date	conference_location
COPA 2022	11th Symposium on Conformal and Probabilistic Prediction with Applications	Aug 24, 2022	Brighton, UK
EAI BDTA 2022	12th EAI International Conference on Big Data Technologies and Applications	Dec 10, 2022	Cairo, Egypt
ICACI 2020	12th International Conference on Advanced Computational Intelligence	Mar 14, 2020	Dali, Yunmnan, China
ICAIT  2023	12th International Conference on Advanced Computer Science and Information Technology	Jul 29, 2023	London, United Kingdom
ICAITA  2023	12th International Conference on Advanced Information Technologies and Applications	Mar 25, 2023	Sydney, Australia
ACITY 2022	12th International Conference on Advances in Computing and Information Technology	Dec 23, 2022	Sydney, Australia
AIAA 2022	12th International Conference on Artificial Intelligence, Soft Computing and Applications	Dec 23, 2022	Sydney, Australia
CLOUD  2023	12th International Conference on Cloud Computing: Services and Architecture	Mar 18, 2023	Vienna, Austria
ICCSEA 2022	12th International Conference on Computer Science, Engineering and Applications	Nov 26, 2022	London, United Kingdom
ICDIPV  2023	12th International Conference on Digital Image Processing and Vision	Jul 29, 2023	London, United Kingdom
IDT 2020	12th International Conference on Intelligent Design Technologies	Jun 17, 2020	Split, Croatia
ICPRAM 2023	12th International Conference on Pattern Recognition Applications and Methods	Feb 22, 2023	Lisbon, Portugal
SAI 2023	12th International Conference on Soft Computing, Artificial Intelligence and Applications 	Mar 25, 2023	Sydney, Australia
ISICA 2021	12th International Symposium on Intelligence Computation and Applications 2021	Nov 20, 2021	Guanghzhou, China
ICACI 2021	13th International Conference on Advanced Computational Intelligence	May 14, 2021	Wanzhou, Chongqing, China 
CCSEIT  2023	13th International Conference on Computer Science, Engineering and Information Technology	Feb 18, 2023	Dubai, UAE
CCSIT  2023	13th International Conference on Computer Science and Information Technology	Jul 22, 2023	Toronto, Canada
DMS 2022	13th International conference on Database Management Systems	Nov 12, 2022	Chennai, India
UBIC 2022	13th International Conference on Ubiquitous Computing 	Nov 26, 2022	London, United Kingdom
NaBIC 2021	13th World Congress on Nature and Biologically Inspired Computing	Dec 15, 2021	Hybderabad, India
WSDM 2021	14th ACM Conference on Web Search and Data Mining	Mar 8, 2021	Jerusalem, Israel
ACIIDS 2022	14th Asian Conference on Intelligent Information and Database Systems	Nov 28, 2022	Ho Chi Minh City, Vietnam
ASUC 2023	14th International Conference on Ad hoc, Sensor & Ubiquitous Computing 	Mar 25, 2023	Sydney, Australia
IHCI 2022	14th International Conference on Intelligent Human-Computer Interaction (IHCI-2022)	Oct 20, 2022	Tashkent, Uzbekistan
NCTA 2022	14th International Conference on Neural Computation Theory and Applications	Oct 24, 2022	Valletta, Malta
PPAM 2022	14th International Conference on Parallel Processing and Applied Mathematics	Sep 11, 2022	Gdansk, Poland
WeST 2022	14th International Conference on Web services & Semantic Technology	Dec 23, 2022	Sydney, Australia
WiMoA 2022	14th International Conference on Wireless, Mobile Network and Applications 	Nov 26, 2022	London, United Kingdom
CoNeCo 2023	15th International Conference on Computer Networks & Communications 	May 27, 2023	Vancouver, Canada
NoCArc 2022	15th International Workshop on Network-on-Chip Architectures	Oct 5, 2022	Chicago, Illinois, USA
NSV 2022	15th International Workshop on Numerical Software Verification	Aug 11, 2022	Haifa, Israel 
INISTA 2022	16th International Conference on INnovations in Intelligent SysTems and Applications	Aug 8, 2022	Biarritz, France
CNSA  2023	16th International Conference on Network Security & Applications	Feb 18, 2023	Dubai, UAE
MLDM 2021	17th International Conference on Machine Learning and Data Mining 	Jul 17, 2021	New York, USA
MLG 2022	17th International Workshop on Mining and Learning with Graphs	Aug 15, 2022	Washinton, DC
SSTDM 2022	17th International Workshop on Spatial and Spatiotemporal Data Mining	Nov 28, 2022	Orlando, Florida
WiML 2022	17th Women in Machine Learning Workshop (WiML 2022) 	Nov 28, 2022	New Orleans, Louisiana
ICDATA 2022	18th Int. Conference on Data Science 	Jul 25, 2022	Las Vegas, NV
ADMA 2022	18th International Conference on Advanced Data Mining and Applications	Nov 28, 2022	Brisbane, Australia
VISAPP 2023	18th International Conference on Computer Vision Theory and Applications	Feb 19, 2023	Lisbon, Portugal
MLDM 2023	18th International Conference on Machine Learning and Data Mining	Jul 16, 2023	New York, USA
MLDM 2023	19th International Conference on Machine Learning and Data Mining	Jul 16, 2023	New York, USA
BIOKDD 2020	19th International Workshop on Data Mining in Bioinformatics (with SIGKDD 2020)	Aug 24, 2020	San Diego, CA - USA
ICISML 2022	1st EAI International Conference on Intelligent Systems and Machine Learning	Dec 16, 2022	Hyderabad, India
ICDPCS 2022	1st International Conference on Data Processing, Control and Simulation	May 13, 2022	Wuhan, China
SIMPLIFY 2021	1st International Workshop on Data Analytics and Machine Learning Made Simple	Mar 23, 2021	Nicosia, Cyprus
HYDRA 2022	1st International Workshop on HYbrid Models for Coupling Deductive and Inductive ReAsoning	Sep 5, 2022	Genova Nervi, Italy
WMLDL  2023	1st International Workshop on Machine Learning and Deep Learning WMLDL 2023	Mar 7, 2023	University Mohamed Boudiaf of M'sila,Alg
WAML-HPC 2022	1st Workshop on Applications of Machine Learning and Artificial Intelligence in High-Performance Computing 	Sep 11, 2022	Gdansk, Poland
ICS 2020	2020 International Computer Symposium	Dec 17, 2020	Tainan, Taiwan
BigData Conference 2020	2020 International Conference on Big Data Call for Papers- EI Compendex and Scopus	Jun 22, 2020	Honolulu, Hawaii, USA
ICSESS 2020	 2020 the 11th International Conference on Software Engineering and Service Science 	Oct 16, 2020	Beijing,China
ICSESS 2021	2021 12th International Conference on Software Engineering and Service Science 	Aug 20, 2021	Beijing,China
IEEE BigComp  2021	2021 IEEE International Conference on Big Data and Smart Computing	Jan 17, 2021	Bangkok, Thailand
IEEE SSCI 2021	2021 IEEE Symposium Series on Computational Intelligence	Dec 5, 2021	Orlando, Florida, USA
CMSBD2021	2021 International Conference on Computer Modeling, Simulation and Big Data (CMSBD2021)	Nov 14, 2021	Shenzhen, China
ICFIC 2021	2021 International Conference on Future Intelligent Computing	Nov 18, 2021	Daegu University, Korea
ICSESS 2022	2022 13th International Conference on Software Engineering and Service Science 	Oct 21, 2022	Beijing,China
ACM-Ei/Scopus-ITNLP 2022	2022 2nd International Conference on Information Technology and Natural Language Processing (ITNLP 2022) -EI Compendex	Aug 26, 2022	Xi'an, China
ACM-Ei/Scopus-MLBDM 2022	2022 2nd International Conference on Machine Learning and Big Data Management（MLBDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
WSIM 2022	2022 2nd International Workshop on Information Management (WSIM 2022)	Dec 2, 2022	London, UK
ICBDM 2022	2022 3rd International Conference on Big Data in Management (ICBDM 2022)	Nov 7, 2022	Charleston, South Carolina, USA
ACM-Ei/Scopus-CVCM 2022	2022 3rd International Conference on Computer Vision, Communications and Multimedia (CVCM 2022) -EI Compendex	Aug 26, 2022	Xi'an, China
ACM-Ei/Scopus-PRDM 2022	2022 3rd International Conference on Pattern Recognition and Data Mining （PRDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
WSPML 2022	2022 4rd International Workshop on Signal Processing and Machine Learning (WSPML 2022)	Dec 16, 2022	Beijing, China
ACM-AMLSP 2022	2022 4th International Conference on Algorithms, Machine Learning and Signal Processing (AMLSP 2022)	Nov 25, 2022	Sanya, China
ICBICC 2022	2022 4th International Conference on Big Data, IoT, and Cloud Computing (ICBICC 2022)	Dec 2, 2022	Chengdu, China
ICBDB 2022	2022 4th International Conference on Big Data and Blockchain(ICBDB 2022)	Dec 16, 2022	Beijing, China
BDSIC--EI 2022	2022 4th International Conference on Big-data Service and Intelligent Computation (BDSIC 2022)	Nov 25, 2022	Xiamen, China
ICSED 2022	2022 4th International Conference on Software Engineering and Development (ICSED 2022)	Nov 25, 2022	Xiamen, China
EI-WBDC 2022	2022 4th International Workshop on Big Data and Computing(WBDC 2022)	Dec 16, 2022	Beijing, China
BDML 2022	2022 5th International Conference on Big Data and Machine Learning (BDML 2022)	Sep 23, 2022	Xiamen, China
HotICN 2022	2022 5th International Conference on Hot Information-Centric Networking (HotICN 2022)	Nov 24, 2022	Guangzhou, China
IEEE-MLNLP 2022	2022 5th International Conference on Machine Learning and Natural Language Processing (MLNLP 2022)	Dec 23, 2022	Sanya, China
ICNT--Ei 2022	2022 5th International Conference on Network Technology (ICNT 2022)	Oct 21, 2022	Beijing, China
BDIOT 2022	2022 6th International Conference on Big Data and Internet of Things (BDIOT 2022)	Aug 12, 2022	Chongqing, China
NLPIR 2022	2022 6th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2022)	Dec 16, 2022	Bangkok, Thailand
IEEE-AIMLMI 2022	2022 Asia Conference on Advanced Artificial Intelligence, Machine Learning and Man-machine Interaction (AIMLMI 2022)	Aug 26, 2022	Qingdao, China
IEEE ICCT--Ei 2022	2022 IEEE 22nd International Conference on Communication Technology (22nd IEEE ICCT)	Nov 11, 2022	Nanjing, China
IEEE--DSIT 2022	2022 IEEE 5th International Conference on Data Science and Information Technology (DSIT 2022)	Jul 22, 2022	Shanghai, China
IEEE BigData 2022	2022 IEEE International Conference on Big Data	Dec 17, 2022	Osaka, Japan
IEEE-ADMIT 2022	2022 International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2022)	Sep 23, 2022	Xi'an, China
AIBDCA 2022	2022 International Conference on Artificial Intelligence, Big Data and Computer Applications	Nov 4, 2022	Huanggang, China
BDAML--Ei Compendex, Scopus 2022	2022 International Conference on Big Data Analysis and Machine Learning (BDAML 2022)--Ei Compendex, Scopus	Jul 20, 2022	Suzhou, China
BlockSys--Ei Compendex, SCI, ESCI 2022	2022 International Conference on Blockchain and Trustworthy Systems (BlockSys'2022)--Ei Compendex, SCI, ESCI	Aug 4, 2022	Chengdu, China
IEEE-CCBDIoT 2022	2022 International Conference on Computing, Big Data and Internet of Things (CCBDIoT 2022)	Sep 23, 2022	Xi'an, China
IOP, EI, Scopus-EMECS 2022	2022 International Conference on Electronics, Mechanical Engineering and Computer Science (EMECS 2022)-EI Compendex	Oct 21, 2022	Xiamen, China
ICoIV 2022 - Ei Compendex & Scopus 2022	2022 International Conference on Intelligent Vehicles (ICoIV 2022)	Oct 14, 2022	Chengdu, China
MLIS 2022	2022 International Conference on Machine Learning and Intelligent Science (MLIS 2022)	Dec 16, 2022	Macau, China
IOP, EI, Scopus-PRECE 2022	2022 International Conference on Power, Renewable Energy and Control Engineering (PRECE 2022)-EI Compendex	Oct 21, 2022	Xiamen, China
JCRAI 2022-Ei Compendex & Scopus 2022	2022 International Joint Conference on Robotics and Artificial Intelligence (JCRAI 2022)	Oct 14, 2022	Chengdu, China
IEEE-ISNCC 2022	2022 International Symposium on Networks, Computers and Communications	Jul 19, 2022	Shenzhen, China
ICIT 2022	2022 The 10th International Conference on Information Technology: IoT and Smart City (ICIT 2022)	Dec 23, 2022	Shanghai, China
ICITS--EI, SCOPUS 2022	2022 The 10th International Conference on Information Technology and Science (ICITS 2022)--Scopus, Ei Compendex	Jun 24, 2022	Xiamen, China
ICAIT--Ei, Scopus 2022	2022 The 14th International Conference on Advanced Infocomm Technology (ICAIT 2022)--Ei Compendex, SCOPUS	Jul 8, 2022	Chongqing, China
BDEE 2022	2022 The 2nd International Conference on Big Data Engineering and Education (BDEE 2022)	Aug 5, 2022	Chengdu, China
WBDS--JA, Scopus 2022	2022 The 2nd Workshop on Big Data Sciences (WBDS 2022)--JA, Scopus	Oct 14, 2022	Tokyo, Japan
WIOTT--JA, Scopus 2022	2022 The 2nd Workshop on Internet of Things Technologies (WIOTT 2022)--JA, Scopus	Oct 14, 2022	Tokyo, Japan
ICIST--Ei, Scopus 2022	2022 The 4th International Conference on Intelligent Science and Technology (ICIST 2022)--Ei Compendex, Scopus	Aug 10, 2022	Harbin, China
ICIMP--EI Compendex and Scopus 2022	2022 The 5th International Conference on Information Management and Processing (ICIMP 2022)--Ei Compendex, Scopus	Jun 10, 2022	Rome, Italy
ICBDR--Ei, Scopus 2022	2022 The 6th International Conference on Big Data Research (ICBDR 2022)--Ei Compendex, Scopus	Aug 10, 2022	Harbin, China
ICCFI--Ei, Scopus 2022	2022 The 6th International Conference on Communications and Future Internet (ICCFI 2022)	Jul 29, 2022	Okayama University, Japan
ICISE--EI 2022	2022 the 7th International Conference on Information Systems Engineering (ICISE 2022)	Nov 7, 2022	Charleston, South Carolina, USA
ICNS--Ei 2022	2022 The 7th International Conference on Network Security (ICNS 2022)	Dec 9, 2022	Beijing, China
ICDPA--Scopus, Ei 2022	2022 The 8th International Conference on Data Processing and Applications (ICDPA 2022)--Scopus, Ei Compendex	Jun 24, 2022	Xiamen, China
AWSE--EI 2022	2022 The Second Asia Workshop on Software Engineering (AWSE 2022)	Sep 16, 2022	Larissa, Greece
CBD  2022	2022 The Tenth International Conference on Advanced Cloud and Big Data	Nov 4, 2022	Guilin, China
ICEIT 2023	2023 12th International Conference on Educational and Information Technology (ICEIT 2023)	Mar 16, 2023	Chongqing, China
KST 2023	2023 15th International Conference on Knowledge and Smart Technology (KST)	Feb 22, 2023	Novotel Vintage Park, Phuket, Thailand
IDITR 2023	2023 2nd International Conference on Innovations and Development of Information Technologies and Robotics (IDITR 2023)	May 26, 2023	Chengdu, China 
IEEE SEAI 2023	2023 3rd IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2023)	Jun 16, 2023	Xiamen, China
ICAIE 2023	2023 3rd International Conference on Artificial Intelligence in Education (ICAIE 2023)	Mar 16, 2023	Chongqing, China
IOP, EI, Scopus-EECT 2023	2023 3rd International Conference on Electrical, Electronics and Computing Technology (EECT 2023)	Mar 24, 2023	Sanya, China
AIOTT--Ei 2023	2023 4th Asia IoT Technologies Conference (AIOTT 2023)	Jan 6, 2023	Beijing, China
IPMV 2023	2023 5th International Conference on Image Processing and Machine Vision (IPMV 2023)	Jan 13, 2023	Macau, China
ACM | PRIS 2023	2023 5th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2023)	Jul 28, 2023	Shenyang, China
PRA 2023	2023 5th Workshop on Pattern Recognition Applications (PRA 2023)	Jul 28, 2023	Shenyang, China
DMKD 2023	2023 6th International Conference on Data Mining and Knowledge Discovery(DMKD 2023)	Mar 17, 2023	Seoul, South Korea
ICGDA 2023	2023 6th International Conference on Geoinformatics and Data Analysis (ICGDA 2023)	Apr 13, 2023	Marseille, France
ICSSE--Ei 2023	2023 6th International Conference on Software and Services Engineering (ICSSE 2023)	Apr 13, 2023	Marseille, France
China, DMCIT 2023	2023 7th International Conference on Data Mining, Communications and Information Technology (DMCIT 2023)	May 26, 2023	Chongqing, China
ICINT 2023	2023 8th International Conference on Information and Network Technologies (ICINT 2023)	May 19, 2023	Tokyo, Japan
ITIOT 2023	2023 8th International Conference on Information Technology and Internet of Things (ITIOT 2023)	Jun 23, 2023	Seoul, South Korea
ICMLT--Ei, Scopus 2023	2023 8th International Conference on Machine Learning Technologies (ICMLT 2023)--EI Compendex, Scopus	Mar 10, 2023	Stockholm, Sweden
ACBT 2023	2023 Asia Conference on Blockchain Technologies (ACBT 2023)	Jun 23, 2023	Seoul, South Korea
IEEE SSCI 2023	2023 IEEE Symposium Series on Computational Intelligence	Dec 6, 2023	Mexico City, Mexico
ICAIBD 2023	2023 IEEE The 6th International Conference on Artificial Intelligence and Big Data (ICAIBD 2023)	May 26, 2023	Chengdu, China
IBTS 2023	2023 International Blockchain Technology Symposium (IBTS 2023)	Mar 17, 2023	Nice, France
ICBD--EI 2023	2023 International Conference on Big Data (ICBD 2023)	Jan 4, 2023	Guiyang, China
FAIML 2023	2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2023)	Apr 28, 2023	Hangzhou, China
INCC--Ei 2023	2023 International Conference on Information Network and Computer Communications (INCC 2023)	Jan 6, 2023	Beijing, China
CoMSE 2023	2023 International Conference on Materials Science and Engineering (CoMSE 2023)	Mar 24, 2023	Shanghai, China
ICMT 2023	2023 International Conference on Metaverse Technology (ICMT 2022)	Aug 11, 2023	Chengdu, China
SoCAV 2023	2023 International Symposium on Connected and Autonomous Vehicles (SoCAV 2023)	Apr 21, 2023	Shenzhen, China
AIBT--Ei 2023	2023 The 2nd International Conference on Artificial Intelligence and Blockchain Technology (AIBT 2023)	Jan 13, 2023	Zibo, Shandong, China
GBDE 2023	2023 The 3rd Global Big Data Engineering Symposium (GBDE 2023)	Jan 10, 2023	Hangzhou, China
GBDE--EI, Scopus 2023	2023 The 3rd Global Big Data Engineering Symposium (GBDE 2023)--EI Compendex, Scopus	Jan 10, 2023	Hangzhou, China
IFSP 2023	2023 the 3rd International Forum on Signal Processing (IFSP 2023)	Jan 6, 2023	Chongqing, China
ICBDM--EI 2023	2023 the 6th International Conference on Big Data Management (ICBDM 2023)	Feb 17, 2023	Zhuhai, China
DSDE--Ei 2023	2023 the 6th International Conference on Data Storage and Data Engineering (DSDE 2023)	Feb 24, 2023	Mianyang, Sichuan, China
ICCDA 2023	2023 The 7th International Conference on Compute and Data Analysis (ICCDA 2023)	Jul 20, 2023	Guiyang, China
ICRMV 2023	2023 the 7th International Conference on Robotics and Machine Vision (ICRMV 2023)	Jan 5, 2023	Taizhou, China
ICVR--SCI 2023	2023 the 9th International Conference on Virtual Reality (ICVR 2023)--IEEE, SCI	May 12, 2023	Xianyang, China
ICDM 2020	20th IEEE International Conference on Data Mining	Nov 17, 2020	Sorrento, Italy
ICDM 2020	20th Industrial Conference on Data Mining ICDM 2020	Jul 15, 2020	New York, USA
MDAI 2023	20th International Conference on Modeling Decisions for Artificial Intelligence	Jun 19, 2023	Umea, Sweden
IDA 2022	20th Symposium on Intelligent Data Analysis (IDA) 2022, Rennes, France	Apr 20, 2022	Rennes, France
UKCI 2021	20th UK Workshop on Computational Intelligence	Sep 8, 2021	Aberystwyth, United Kingdom
ICDM 2021	21st IEEE International Conference on Data Mining	Dec 7, 2021	Auckland, New Zealand
AIxIA 2022	21st International Conference of the Italian Association for Artificial Intelligence	Nov 28, 2022	Udine, Italy
ICAISC 2022	21st International Conference on Artificial Intelligence and Soft Computing	Jun 19, 2022	Zakopane, Poland
IDEAL 2020	21st International Conference on Intelligent Data Engineering and Automated Learning	Nov 4, 2020	Guimarães, Portugal
ICDM 2021	21th Industrial Conference on Data Mining 	Jul 14, 2021	New York, USA
MDM 2021	22nd IEEE Conference on Mobile Data Management 	Jun 15, 2021	Toronto, Canada
ICDM 2022	22nd IEEE International Conference on Data Mining 	Nov 30, 2022	Orlando, FL, USA
SCIA 2023	22nd Scandinavian Conference on Image Analysis	Apr 18, 2023	Levi Ski Resort, Lapland, Finland
CLUSTER 2021	23rd IEEE Cluster Conference	Sep 7, 2021	Portland, Oregon, USA
ICDM 2023	23rd Industrial Conference on Data Mining	Jul 12, 2023	New York, USA
DS 2020	23rd International Conference on Discovery Science	Oct 19, 2020	Thessaloniki, Greece
ICDM 2023	23th Industrial Conference on Data Mining	Jul 12, 2023	New York, USA
CCIA 2022	24th International Conference of the Catalan Association for Artificial Intelligence	Oct 19, 2022	Sitges, Barcelona, Spain
CoCo4MT 2022	2nd CFP - The First Workshop on Corpus Generation and Corpus Augmentation for Machine Translation	Sep 16, 2022	Orlando, Florida and Hybrid
EAI IoTCare 2021	2nd EAI International Conference on IoT and Big Data Technologies for HealthCare	Oct 18, 2021	Leicester, Great Britain
ICoDT 2022	2nd IEEE International Conference on Digital Futures and Transformative Technologies 	May 24, 2022	College of EME, Rawalpindi, Pakistan 
ICACII 2023	2nd International Conference on Advances in Computational Intelligence and Informatics 	Dec 22, 2023	Hyderabad, India
AIMLNET 2022	2nd International conference on AI, Machine Learning in Communications and Networks 	Oct 29, 2022	Vienna, Austria
ICAICC 2022	2nd International Conference on Artificial Intelligence and Cloud Computing	Jun 24, 2022	Chongqing, China
BIOM 2022	2nd International Conference on Big Data, IoT and Machine Learning	Oct 22, 2022	Sydney, Australia
ICDSA 2021	2nd International Conference on Data Science and Applications	Apr 10, 2021	Kolkata, India
MLIS 2020	2nd International Conference on Machine Learning and Intelligent Systems 	Oct 25, 2020	Seoul, Korea
NLDM 2022	2nd International Conference on NLP & Data Mining	Oct 22, 2022	Sydney, Australia
BECS 2022	2nd International Workshop on Big data driven Edge Cloud Services	Jul 5, 2022	Bari, Italy
NAMSP 2021	2nd International Workshop on New Approaches for Multidimensional Signal Processing	Jul 8, 2021	Sofia, Bulgaria
DSBFI 2020	2nd ISSAT International Conference on Data Science in Business, Finance and Industry	Jul 1, 2020	Da Nang, Vietnam
IJCAI-AIofAI 2022	2nd Workshop on Adverse Impacts and Collateral Effects of AI Technologies	Jul 23, 2022	Vienna, Austria
CDCEO  2022	2nd Workshop on Complex Data Challenges in Earth Observation	Jul 23, 2022	Vienna, Austria
KI-KMU 2022	3. Workshop Künstliche Intelligenz für kleine und mittlere Unternehmen auf der INFORMATIK 2022                                 	Sep 26, 2022	Hamburg, Germany
SEBD 2022	30th Symposium on Advanced Database Systems	Jun 19, 2022	Tirrenia, Pisa (Tuscany), Italy
IEA/AIE 2020	33rd International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems	Sep 22, 2020	Kitakyushu, Japan
IEA/AIE 2021	34th International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems	Jul 26, 2021	Kuala Lumpur, Malaysia
CCDC 2023	35th Chinese Control and Decision Conference	May 20, 2023	Yichang, China
IEA/AEI 2022	35th International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems	Jul 19, 2022	Kitakyushu, Japan
Data Science  2020	3nd Annual International Great Lakes Data Science Symposium	May 1, 2020	Erie, PA
AKBC 2021	3rd Conference on Automated Knowledge Base Construction (AKBC)	Oct 4, 2021	Irvine, United States
EAI IoTCare  2022	3rd EAI International Conference on IoT and Big Data Technologies for HealthCare	Oct 17, 2022	Leicester, Great Britain
IEEE ICICT 2023	3rd IEEE International Conference on Issues and Challenges in Intelligent Computing Techniques	Nov 11, 2022	Ghaziabad, India
AIMLA 2023	3rd International Conference on AI, Machine Learning and Applications	Feb 25, 2023	Vancouver, Canada
AIAM 2021	3rd International Conference on Artificial Intelligence and Manufacturing	Oct 23, 2021	Manchester, United Kingdom
BMLI 2022	3rd International Conference on Big Data, Machine Learning and IoT	Dec 22, 2022	Sydney, Australia
CLBD 2022	3rd International Conference on Data Mining and Software Engineering	Nov 12, 2022	Chennai, India
DSA 2022	3rd International Conference on Data Science and Applications 	Dec 23, 2022	Sydney, Australia
DSCC 2022	3rd International Conference on Data Science and Cloud Computing	Dec 17, 2022	Dubai, UAE
DeLTA 2022	3rd International Conference on Deep Learning Theory and Applications	Jul 12, 2022	Lisbon, Portugal
ETTIS 2023	3rd International Conference on Emerging Trends and Technologies on Intelligent Systems	Feb 23, 2023	New Delhi, India
HPBD&IS 2021	3rd International Conference on High Performance Big Data and Intelligent Systems	Dec 5, 2021	Macau, China
IN4PL 2022	3rd International Conference on Innovative Intelligent Industrial Production and Logistics	Oct 24, 2022	Valletta, Malta
ICCT 2023	3rd International Conference on Intelligent Communication and Computational Techniques 	Jan 19, 2023	Jaipur, India
IOTBS  2023	3rd International Conference on IOT, Big Data and Security	Feb 25, 2023	Vancouver, Canada
MLIS 2021	3rd International Conference on Machine Learning and Intelligent Systems	Nov 8, 2021	Online and Xiamen, China
MLDS 2022	3rd International Conference on Machine Learning Techniques and Data Science	Nov 26, 2022	London, United Kingdom
NLAI 2022	3rd International Conference on NLP & Artificial Intelligence Techniques	Nov 26, 2022	London, United Kingdom
DMMLACS 2022	3rd International Special Session on Data Mining and Machine Learning Applications for Cyber Security	Oct 25, 2022	Valleta, Malta
DOLAP 2021	3rd International Workshop on Design, Optimization, Languages and Analytical Processing of Big Data	Mar 23, 2021	Nicosia, Cyprus
DOING@ADBIS 2022	3rd International Workshop on Intelligent Data – From Data to Knowledge	Sep 5, 2022	Torino, Italy
BigVis 2020	3rd Intl.  Workshop on Big Data Visual Exploration and Analytics	Mar 30, 2020	Copenhagen, Denmark
BDBI 2020	3rd Workshop on Big Data and Business Intelligence	Oct 8, 2020	lisbon, Portugal
ECIR 2023	45th European Conference on Information Retrieval	Apr 2, 2023	Dublin, Ireland
XLOOP 2022	4th Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing	Nov 18, 2022	Dallas, TX
EAI BDCC 2021	4th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing (Springer, Scopus, Ei Compendex, more)	Dec 17, 2021	Coimbatore, India
ICADCML 2023	4th International Conference on Advances in Distributed Computing and Machine Learning	Jan 15, 2023	Rourkela, Odisha, India
ASPAI 2022	4th International Conference on Advances in Signal Processing and Artificial Intelligence	Oct 19, 2022	Corfu Holiday Palace, Corfu, Greece
CEEE  2022	4th International Conference on Applied Control, Electrical and Electronics Engineering	Dec 17, 2022	Dubai, UAE
AIBD 2023	4th International Conference on Artificial Intelligence and Big Data	Jan 28, 2023	Copenhagen, Denmark
CAIML  2023	4th International Conference on Artificial Intelligence and Machine Learning	Jul 29, 2023	London, United Kingdom
CBDA 2023	4th International Conference on Big Data	May 20, 2023	Zurich, Switzerland
BIGML 2023	4th International conference on Big Data, Machine learning and Applications	Jul 22, 2023	Toronto, Canada
